@RELATION teste

@ATTRIBUTE C0	REAL
@ATTRIBUTE C1	REAL
@ATTRIBUTE C2	REAL
@ATTRIBUTE C3	REAL
@ATTRIBUTE C4	REAL
@ATTRIBUTE C5	REAL
@ATTRIBUTE C6	REAL
@ATTRIBUTE C7	REAL
@ATTRIBUTE C8	REAL
@ATTRIBUTE C9	REAL
@ATTRIBUTE C10	REAL
@ATTRIBUTE C11	REAL
@ATTRIBUTE C12	REAL
@ATTRIBUTE C13	REAL
@ATTRIBUTE C14	REAL
@ATTRIBUTE C15	REAL
@ATTRIBUTE C16	REAL
@ATTRIBUTE C17	REAL
@ATTRIBUTE C18	REAL
@ATTRIBUTE C19	REAL
@ATTRIBUTE C20	REAL
@ATTRIBUTE C21	REAL
@ATTRIBUTE C22	REAL
@ATTRIBUTE C23	REAL
@ATTRIBUTE C24	REAL
@ATTRIBUTE C25	REAL
@ATTRIBUTE C26	REAL
@ATTRIBUTE C27	REAL
@ATTRIBUTE C28	REAL
@ATTRIBUTE C29	REAL
@ATTRIBUTE C30	REAL
@ATTRIBUTE C31	REAL
@ATTRIBUTE C32	REAL
@ATTRIBUTE C33	REAL
@ATTRIBUTE C34	REAL
@ATTRIBUTE classe {388,185,344,111,612,041,211}


@DATA
0, 0, 0.5778, 0, 0, 0, 0.0563, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1086, 0, 0, 0, 0, 0.0198, 1.93, 0, 0.0037, 0,041
0, 0, 0.1044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0167, 0, 0.2629, 0.0057, 0,041
0, 0, 2.1856, 0, 0, 0, 0.0254, 0, 0.2263, 0, 0, 0.2096, 0, 0, 0, 0.0857, 0.0532, 0, 0, 0, 0, 0, 0.0274, 0, 0.27, 0, 0, 0, 0, 0, 0.0645, 0, 0, 0.016, 0.355,041
0, 0, 1.8267, 0, 0, 0, 0, 0, 0, 0, 0, 0.0452, 0, 0, 0.1733, 0, 0, 0.0639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0153, 0,041
0, 0, 0.1044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0167, 0, 0.2629, 0.0052, 0,041
0.1689, 0.195, 4.2789, 0, 0.0735, 0, 0.044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0656, 0, 0, 0, 0, 0, 0, 0, 0.0675, 0, 0, 0.0545, 0, 0.028, 0, 0, 0.0082, 0.355,041
0, 0, 1.4844, 0, 0.065, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1206, 0, 0, 0, 0.61, 0.0274, 0, 0, 0, 0, 0, 0, 0, 0.0647, 0, 0, 0.0203, 0,041
0, 0, 3.0656, 0, 0, 0, 0.0194, 0, 0, 0, 0, 0.1422, 0, 0, 0, 0, 0.2126, 0.0567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.005, 0,041
0.2422, 0, 0.7833, 0, 0, 0, 0, 0.0623, 0, 0, 0, 0, 0, 0, 0.1522, 0, 0.0689, 0.23, 0, 0, 0, 0, 0.0274, 0, 0, 0.0336, 0, 0, 0, 0, 0.0249, 0, 0, 0.0203, 0.355,041
0, 0, 1.3522, 0, 0.086, 0, 0.0355, 0.0623, 0.175, 0, 0, 0.3159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1009, 0, 0, 0, 0, 0, 0, 0.094, 0.0784, 0, 0, 0.013, 0,041
0, 0, 0.4544, 0, 0, 0, 0.0157, 0, 0, 0, 0, 0.1552, 0, 0, 0, 0, 0.0532, 0, 0, 0, 0, 0, 0.0548, 0, 0, 0.1656, 0, 0, 0, 0.094, 0.0531, 0, 0, 0.018, 0,041
0.1811, 0, 0.4878, 0, 0, 0, 0.0157, 0, 0, 0, 0, 0.11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.07, 0, 0, 0.0105, 0.355,041
