@RELATION teste

@ATTRIBUTE C0	REAL
@ATTRIBUTE C1	REAL
@ATTRIBUTE C2	REAL
@ATTRIBUTE C3	REAL
@ATTRIBUTE C4	REAL
@ATTRIBUTE C5	REAL
@ATTRIBUTE C6	REAL
@ATTRIBUTE C7	REAL
@ATTRIBUTE C8	REAL
@ATTRIBUTE C9	REAL
@ATTRIBUTE C10	REAL
@ATTRIBUTE C11	REAL
@ATTRIBUTE C12	REAL
@ATTRIBUTE C13	REAL
@ATTRIBUTE C14	REAL
@ATTRIBUTE C15	REAL
@ATTRIBUTE C16	REAL
@ATTRIBUTE C17	REAL
@ATTRIBUTE C18	REAL
@ATTRIBUTE C19	REAL
@ATTRIBUTE C20	REAL
@ATTRIBUTE C21	REAL
@ATTRIBUTE C22	REAL
@ATTRIBUTE C23	REAL
@ATTRIBUTE C24	REAL
@ATTRIBUTE C25	REAL
@ATTRIBUTE C26	REAL
@ATTRIBUTE C27	REAL
@ATTRIBUTE C28	REAL
@ATTRIBUTE C29	REAL
@ATTRIBUTE C30	REAL
@ATTRIBUTE C31	REAL
@ATTRIBUTE C32	REAL
@ATTRIBUTE C33	REAL
@ATTRIBUTE classe {388,185,344,111,612,041,211}


@DATA
0, 0, 0.5778, 0, 0, 0.0563, 0, 0, 0, 0.0458, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1086, 0, 0, 0, 0, 0, 0.0198, 0, 0, 0.1571, 0,041
0, 0, 0.1044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0167, 0, 0, 0, 0,041
0, 0, 2.1856, 0, 0, 0.0254, 0, 0.2263, 0, 0, 0, 0.2096, 0, 0, 0, 0, 0, 0, 0, 0, 0.0274, 0.27, 0, 0, 0, 0, 0, 0, 0, 0.0645, 0, 0.78, 0.7664, 0.355,041
0, 0, 1.8267, 0, 0, 0, 0, 0, 0, 0.0932, 0, 0.0452, 0, 0, 0.1733, 0.0639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1237, 0, 0.0307, 0,041
0, 0, 0.1044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0167, 0, 0, 0, 0,041
0.1689, 0.195, 4.2789, 0.0735, 0, 0.044, 0, 0, 0, 0.0332, 0, 0, 0.1988, 0, 0, 0.0656, 0, 0, 0, 0, 0, 0, 0, 0.0675, 0, 0, 0, 0.0545, 0, 0.028, 0, 0, 0.0821, 0.355,041
0, 0, 1.4844, 0.065, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1206, 0, 0, 0, 0.61, 0.0274, 0, 0.174, 0, 0, 0, 0, 0, 0, 0.0647, 0, 0, 0.1864, 0,041
0, 0, 3.0656, 0, 0, 0.0194, 0, 0, 0, 0, 0, 0.1422, 0, 0, 0, 0.0567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3522, 0, 0,041
0.2422, 0, 0.7833, 0, 0, 0, 0.0623, 0, 0, 0.0584, 0, 0, 0, 0, 0.1522, 0.23, 0, 0, 0, 0, 0.0274, 0, 0, 0.0336, 0, 0, 0, 0, 0, 0.0249, 0, 0.1378, 0.0936, 0.355,041
0, 0, 1.3522, 0.086, 0, 0.0355, 0.0623, 0.175, 0, 0, 0, 0.3159, 0, 0, 0, 0, 0, 0, 0, 0, 0.1009, 0, 0.346, 0, 0, 0, 0, 0, 0.094, 0.0784, 0, 7.6878, 0.0614, 0,041
0, 0, 0.4544, 0, 0, 0.0157, 0, 0, 0, 0, 0, 0.1552, 0, 0, 0, 0, 0, 0, 0, 0, 0.0548, 0, 0, 0.1656, 0, 0, 0, 0, 0.094, 0.0531, 0, 0, 0.1536, 0,041
0.1811, 0, 0.4878, 0, 0, 0.0157, 0, 0, 0, 0, 0, 0.11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.07, 0, 0.3044, 0, 0.355,041
0, 0, 2.6011, 0, 0, 0.0234, 0, 1.0525, 0, 0.0795, 0, 0.0881, 0, 0, 0, 0.1378, 0, 0, 0, 0, 0.0274, 0, 0, 0.0792, 0, 0.665, 0, 0.075, 0, 0, 0.1395, 1.7644, 0, 0.71,041
0.0911, 0, 0.1044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1309, 0, 0.0922, 0, 0, 0.0307, 1.065,041
0.0911, 0, 1.7433, 0, 0, 0, 0.2462, 0, 0, 0.2089, 0, 0, 0, 0, 0, 0.0406, 0, 0, 0, 0, 0, 0, 0, 0.0364, 0, 0, 0, 0.0727, 0, 0.0198, 0, 0, 0.0521, 0,041
0.1367, 0, 3.7678, 0, 0, 0.0227, 0.3123, 0.1125, 0, 0, 0, 0.0441, 0.0485, 0, 0, 0.0656, 0, 0, 0, 0, 0.0274, 0, 0, 0, 0, 0, 0, 0, 0, 0.0784, 0, 0, 0, 0.71,041
0, 0, 0.6944, 0, 0, 0, 0, 1.2275, 0, 0.0595, 0, 0.0315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0364, 0, 0, 0, 0.06, 0, 0.02, 0, 0, 0.2586, 2.125,041
0.0456, 0.195, 3.9656, 0.0735, 0, 0.0519, 0, 0, 0, 0, 0, 0.177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1505, 0, 0.0729, 0, 0, 0.1529, 0.355,041
0, 0, 0.6244, 0, 0, 0, 0.0623, 0, 0, 0.0921, 0, 0.0441, 0, 0, 0, 0.2411, 0, 0, 0, 0, 0, 0, 0, 0.0394, 0, 0, 0, 0.6918, 0, 0, 0, 0.1756, 0, 0.71,041
0.1611, 0, 1.3344, 0, 0, 0, 0, 0.175, 0, 0.0926, 0, 0.23, 0, 0, 0, 0.06, 0, 0, 0, 0, 0.0274, 0, 0, 0.0314, 0, 0, 0, 0, 0, 0.1267, 0.0605, 5.2844, 0.2114, 0.71,041
0.0456, 0, 2.3611, 0.1465, 0, 0, 0.3746, 0, 0, 0.0463, 0, 0, 0, 0, 0, 0.1172, 0, 0, 0, 0.4075, 0, 0, 0, 0, 0, 0, 0, 0.0682, 0, 0.0386, 0, 0, 0.0707, 0.355,041
0.0911, 0, 0.2922, 0, 0, 0, 0.25, 0, 0, 0.0463, 0, 0.0441, 0, 0, 0, 0.1578, 0, 0, 0, 0.4075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0605, 0.2111, 0, 1.065,041
0.0456, 0, 3.2644, 0, 0, 0, 0.0623, 0, 0, 0.0584, 0, 0.0441, 0, 0, 0, 0.1333, 0, 0, 0, 0.4075, 0, 0.5375, 0, 0.1175, 0, 0, 0, 0.0377, 0, 0.0606, 0, 0.1756, 0.0707, 0,041
0.25, 0, 0.1044, 0, 0, 0.0199, 0, 0, 0, 0, 1.3733, 0.0356, 0.3396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.28, 0, 0, 0, 0, 0.1495, 0, 0, 0, 0, 0.1064, 0.355,041
0, 0, 1.7933, 0, 0, 0.0204, 0.1231, 0, 0, 0, 0, 0.0441, 0, 0, 0, 0.085, 0, 0, 0, 0, 0, 0, 0, 0.0908, 0, 0, 0, 0, 0, 0.0235, 0.0605, 0.1756, 0.0757, 0,041
0.0778, 0, 0.1044, 0, 0, 0, 0, 0.2563, 0.305, 0.0732, 0, 0, 0.0485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7833, 0.0159, 0, 0, 0.0307, 0,041
0, 0, 0.3289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.355,041
0, 0, 0.0844, 0.0875, 0, 0, 0, 0, 0, 0.0732, 0, 0.6648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333, 0.0605, 0, 0, 0,041
0, 0, 1.0833, 0, 0, 0.0651, 0, 0, 0, 0.1368, 0, 0, 0.1327, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0645, 0.1193, 0.0608, 0, 0, 0.0307, 0,041
0.0456, 0, 3.6489, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1241, 0, 0, 0, 0, 0.215, 0,041
0.1689, 0, 1.0056, 0, 0, 0, 0, 0, 0, 0.0463, 0, 0.0356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2995, 0, 0.0733, 0.2368, 0, 0, 0.355,041
0, 0, 0.5667, 0, 0, 0.0279, 0.0908, 0.1125, 0, 0.1695, 0, 0.1333, 0, 0, 0, 0, 0, 0, 0, 0, 0.0274, 0, 0.298, 0.0311, 0.0681, 0.665, 0, 0, 0.8367, 0.0671, 0, 0.1756, 0.105, 0,041
0, 0, 1.2144, 0.2145, 0, 0, 0, 0, 0, 0, 0, 0.0441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0605, 0.5778, 0.0936, 0.355,041
0, 0, 0.3122, 0, 0, 0, 0.1185, 0, 0, 0.0932, 0, 0.1763, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.39, 0, 0, 0, 0, 0, 0, 0.0198, 0, 1.87, 0.1557, 0,041
0, 0, 0.1744, 0, 0, 0.0966, 0.0908, 0, 0, 0.1711, 0, 0.0822, 0, 0, 0, 0.1061, 0, 0, 0, 0, 0, 0, 0, 0.0958, 0, 0, 0, 0.1114, 0, 0, 0, 0, 0.0757, 1.065,041
