@RELATION teste

@ATTRIBUTE C0	REAL
@ATTRIBUTE C1	REAL
@ATTRIBUTE C2	REAL
@ATTRIBUTE C3	REAL
@ATTRIBUTE C4	REAL
@ATTRIBUTE C5	REAL
@ATTRIBUTE C6	REAL
@ATTRIBUTE C7	REAL
@ATTRIBUTE C8	REAL
@ATTRIBUTE C9	REAL
@ATTRIBUTE C10	REAL
@ATTRIBUTE C11	REAL
@ATTRIBUTE C12	REAL
@ATTRIBUTE C13	REAL
@ATTRIBUTE C14	REAL
@ATTRIBUTE C15	REAL
@ATTRIBUTE C16	REAL
@ATTRIBUTE C17	REAL
@ATTRIBUTE C18	REAL
@ATTRIBUTE C19	REAL
@ATTRIBUTE C20	REAL
@ATTRIBUTE C21	REAL
@ATTRIBUTE C22	REAL
@ATTRIBUTE C23	REAL
@ATTRIBUTE C24	REAL
@ATTRIBUTE C25	REAL
@ATTRIBUTE C26	REAL
@ATTRIBUTE C27	REAL
@ATTRIBUTE C28	REAL
@ATTRIBUTE C29	REAL
@ATTRIBUTE C30	REAL
@ATTRIBUTE C31	REAL
@ATTRIBUTE C32	REAL
@ATTRIBUTE C33	REAL
@ATTRIBUTE C34	REAL
@ATTRIBUTE C35	REAL
@ATTRIBUTE C36	REAL
@ATTRIBUTE C37	REAL
@ATTRIBUTE C38	REAL
@ATTRIBUTE C39	REAL
@ATTRIBUTE C40	REAL
@ATTRIBUTE C41	REAL
@ATTRIBUTE C42	REAL
@ATTRIBUTE C43	REAL
@ATTRIBUTE C44	REAL
@ATTRIBUTE C45	REAL
@ATTRIBUTE C46	REAL
@ATTRIBUTE C47	REAL
@ATTRIBUTE C48	REAL
@ATTRIBUTE C49	REAL
@ATTRIBUTE C50	REAL
@ATTRIBUTE C51	REAL
@ATTRIBUTE C52	REAL
@ATTRIBUTE C53	REAL
@ATTRIBUTE C54	REAL
@ATTRIBUTE C55	REAL
@ATTRIBUTE C56	REAL
@ATTRIBUTE C57	REAL
@ATTRIBUTE C58	REAL
@ATTRIBUTE C59	REAL
@ATTRIBUTE C60	REAL
@ATTRIBUTE C61	REAL
@ATTRIBUTE C62	REAL
@ATTRIBUTE C63	REAL
@ATTRIBUTE C64	REAL
@ATTRIBUTE C65	REAL
@ATTRIBUTE C66	REAL
@ATTRIBUTE C67	REAL
@ATTRIBUTE C68	REAL
@ATTRIBUTE C69	REAL
@ATTRIBUTE C70	REAL
@ATTRIBUTE C71	REAL
@ATTRIBUTE C72	REAL
@ATTRIBUTE C73	REAL
@ATTRIBUTE C74	REAL
@ATTRIBUTE C75	REAL
@ATTRIBUTE C76	REAL
@ATTRIBUTE C77	REAL
@ATTRIBUTE C78	REAL
@ATTRIBUTE C79	REAL
@ATTRIBUTE C80	REAL
@ATTRIBUTE C81	REAL
@ATTRIBUTE C82	REAL
@ATTRIBUTE C83	REAL
@ATTRIBUTE C84	REAL
@ATTRIBUTE C85	REAL
@ATTRIBUTE C86	REAL
@ATTRIBUTE C87	REAL
@ATTRIBUTE C88	REAL
@ATTRIBUTE C89	REAL
@ATTRIBUTE C90	REAL
@ATTRIBUTE C91	REAL
@ATTRIBUTE C92	REAL
@ATTRIBUTE C93	REAL
@ATTRIBUTE C94	REAL
@ATTRIBUTE C95	REAL
@ATTRIBUTE C96	REAL
@ATTRIBUTE C97	REAL
@ATTRIBUTE C98	REAL
@ATTRIBUTE C99	REAL
@ATTRIBUTE C100	REAL
@ATTRIBUTE C101	REAL
@ATTRIBUTE C102	REAL
@ATTRIBUTE C103	REAL
@ATTRIBUTE C104	REAL
@ATTRIBUTE C105	REAL
@ATTRIBUTE C106	REAL
@ATTRIBUTE C107	REAL
@ATTRIBUTE C108	REAL
@ATTRIBUTE C109	REAL
@ATTRIBUTE C110	REAL
@ATTRIBUTE C111	REAL
@ATTRIBUTE C112	REAL
@ATTRIBUTE C113	REAL
@ATTRIBUTE C114	REAL
@ATTRIBUTE classe {612,388,344,041,211,111,185}


@DATA
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1206, 0, 0, 0, 0.0507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0829, 0, 0, 0, 0, 0, 0, 0.4967, 0, 0, 0, 0, 0, 1.4971, 0, 0, 0.0775, 0.19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1023, 0, 0, 0.0532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0633, 0, 0.1163, 0, 0,041
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1056, 0, 0.165, 2.3282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,041
0, 0, 0.2342, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2197, 0.0346, 0, 0, 0.0182, 0, 0.045, 0, 0, 0, 0.106, 0, 0, 12.17, 0, 0, 0.0494, 0.1693, 0, 0, 0, 0, 0, 0.0387, 0, 0, 0, 0, 0, 0, 0, 0, 0.4283, 0, 0, 0, 0.1063, 0, 0, 0, 0.38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0993, 0, 0, 0, 0, 0, 0, 0.0533, 0, 0, 0, 0, 0, 0.27, 0, 0, 0, 0, 0, 0, 0, 0.0873, 0, 0.5733, 0, 0, 0, 0, 0.252, 0, 0.242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2822, 0, 0.0381, 0, 0,041
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3268, 0, 0, 0.1567, 0.009, 0, 0.0218, 0, 0, 0, 0.318, 0.1159, 0, 5.62, 0, 0, 0.1259, 0.122, 0, 0, 0, 0, 0, 0.1061, 0.93, 0.0539, 0, 0, 0, 0, 0, 0.78, 0.295, 0, 0, 0, 0.0269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.092, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0862, 0, 0, 0, 0.9378, 0, 0, 0, 0,041
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.165, 2.7682, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0853, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,041
0, 0, 0.1558, 0.35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1349, 0, 0, 0, 0.0071, 0, 0, 0, 0, 0, 1.787, 0, 0, 4.68, 0, 0.0933, 0.0659, 0.088, 0, 0, 0, 0, 0, 0.3316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1063, 0.0923, 0, 0, 2.056, 0.47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1092, 0, 0, 0.0544, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.504, 0, 0, 0, 0, 0, 0, 0, 0, 1.05, 0.1715, 0, 0, 0, 0.1894, 0, 0, 0.1547, 0.585,041
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.66, 0, 0, 0.2329, 0.0639, 0, 0, 0.0161, 0, 0, 0, 1.115, 0, 0, 0, 0, 10.3, 0, 0, 0, 0.0813, 0, 0, 1.4986, 0, 0, 0, 0.93, 0, 0, 0, 0.0773, 0, 0, 0, 0, 0.1876, 0, 0.192, 0.1088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0904, 0.0426, 0, 0, 0, 0, 0, 0, 0.0533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0839, 0, 0, 0, 0,041
0, 0, 0, 0, 0, 0, 0, 0, 0.265, 0, 0.1269, 0.99, 0, 0, 0.2242, 0.0175, 0, 0, 0.0037, 0, 0.045, 0, 0, 0, 0.424, 0, 0, 6.55, 0, 0.0767, 0, 0.0407, 0, 0, 0.1164, 0, 0, 0.0387, 0, 0, 0, 0.3317, 0, 0, 0, 0, 0.2133, 0, 0, 0, 0.1, 0, 0, 0, 0, 0.6067, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0426, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4767, 0, 0.1856, 0.2882, 0,041
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0797, 0.0346, 0, 0, 0.021, 0, 0.045, 0, 0, 0, 0, 0, 0, 0.94, 0, 0, 0, 0.2653, 0, 0, 0, 0, 0, 0.0387, 0, 0.0539, 0, 0, 0, 0, 0, 0.685, 0, 0, 0, 0.048, 0.315, 0.3846, 0, 0, 0, 0.47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.045, 0, 0, 0, 0, 0.0493, 0, 0, 0.0533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2961, 0, 0.0763, 0, 0,041
0, 0, 0.1025, 0, 0, 0, 0, 0, 0, 0, 0.0494, 0, 0, 0, 0.1505, 0.0346, 0, 0, 0.0136, 0, 0.22, 0, 0, 0, 0, 0, 0, 12.17, 0, 0.0767, 0.0776, 0.0813, 0, 0, 0, 0.1389, 0, 0.031, 0, 0.0539, 0, 0, 0, 0, 0, 0, 0.4567, 0, 0, 0, 0.1356, 0, 0, 0, 7.386, 0, 0, 1.4, 0, 0, 0, 0, 0, 0, 0, 0, 0.0532, 0, 0.0426, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3933, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05, 0, 0, 0, 0, 0.0211, 0, 0.1438, 0, 0,041
